rank_vfm,fifa_version,season_label,dataset_gender,sofifa_id,short_name,long_name,age,primary_position,position_group,overall,potential,performance_score,value_eur,wage_eur,annual_wage_eur,total_cost_eur,cost_million_eur,vfm_index,vfm_formula_1_index,vfm_formula_2_index,vfm_formula_3_raw,regression_residual,club_name,league_name,nationality_name,player_url,cost_performance_segment
1,16,FIFA 16,male,175253,W. Ayoví,Walter Orlando Ayoví Corozo,35,LB,DEF,68,68,66.695,130000.0,2000.0,104000.0,234000.0,0.234,100.0,100.0,100.0,0.9041689213904581,4.941060382289045,Dorados de Sinaloa,Mexican Liga MX,Ecuador,https://sofifa.com/player/175253/walter-ayovi/160002,mid_market
1,20,FIFA 20,male,5479,Casillas,Iker Casillas Fernández,38,GK,GK,83,83,78.38000000000001,2600000.0,11000.0,572000.0,3172000.0,3.172,100.0,97.91038227389897,100.0,0.9005401789957519,5.055881466296171,FC Porto,Portuguese Liga ZON SAGRES,Spain,https://sofifa.com/player/5479/iker-casillas-fernandez/200002,high_perf_high_cost__premium_star
1,21,FIFA 21,male,253632,M. Sotillo,Michael Anthony Sotillo Cañari,35,GK,GK,70,70,68.6,180000.0,500.0,26000.0,206000.0,0.206,100.0,100.0,100.0,1.4870529800208863,7.89550656074141,Deportivo Binacional,Peruvian Primera División,Peru,https://sofifa.com/player/253632/michael-sotillo/210002,mid_market
1,17,FIFA 17,male,13743,S. Gerrard,Steven Gerrard,36,CM,MID,81,81,77.08,1400000.0,10000.0,520000.0,1920000.0,1.92,100.0,99.94793474488026,100.0,0.9346820395452617,5.38957551077722,LA Galaxy,USA Major League Soccer,England,https://sofifa.com/player/13743/steven-gerrard/170002,mid_market
1,19,FIFA 19,male,214503,L. Delgado,Luis Enrique Delgado Mantilla,37,GK,GK,67,67,65.03999999999999,50000.0,500.0,26000.0,76000.0,0.076,100.0,100.0,100.0,1.271265178169041,6.589767418208467,Atlético Bucaramanga,Colombian Liga Postobón,Colombia,https://sofifa.com/player/214503/luis-delgado/190002,low_perf_low_cost__budget_depth
1,22,FIFA 22,male,177299,A. Gabbarini,Adrián José Gabbarini,35,GK,GK,72,72,70.16,250000.0,500.0,26000.0,276000.0,0.276,100.0,100.0,100.0,1.5398676708581052,8.112258457197036,LDU Quito,Ecuadorian Serie A,Argentina,https://sofifa.com/player/177299/adrian-gabbarini/220002,mid_market
1,18,FIFA 18,male,48717,Júlio César,Júlio César Soares de Espíndola,37,GK,GK,80,80,76.2,1000000.0,9000.0,468000.0,1468000.0,1.468,100.0,99.8588607237622,100.0,1.0965921631069557,6.072528342287654,SL Benfica,Portuguese Liga ZON SAGRES,Brazil,https://sofifa.com/player/48717/julio-cesar-soares-espindola/180002,mid_market
2,22,FIFA 22,male,182959,A. Hruška,Aleš Hruška,35,GK,GK,71,71,69.23,210000.0,500.0,26000.0,236000.0,0.236,99.99479464889906,99.99479464889906,99.99479464889906,1.4978738311437316,7.866390185961862,FC Viktoria Plzeň,Czech Republic Gambrinus Liga,Czech Republic,https://sofifa.com/player/182959/ales-hruska/220002,mid_market
2,21,FIFA 21,male,165493,N. Navarro,Nicolás Gastón Navarro,35,GK,GK,70,70,68.48,180000.0,500.0,26000.0,206000.0,0.206,99.99465440744106,99.99465440744106,99.99465440744106,1.465076016252756,7.7755065607414195,Club Atlético Tigre,Argentina Primera División,Argentina,https://sofifa.com/player/165493/nicolas-navarro/210002,mid_market
2,20,FIFA 20,male,214222,L. Giovini,Lucas Raúl Giovini Schiapino,37,GK,GK,65,65,63.09,50000.0,500.0,26000.0,76000.0,0.076,99.9945154390391,100.0,99.98903087807821,0.8848700407413224,4.426143448292535,Unión La Calera,Chilian Campeonato Nacional,Argentina,https://sofifa.com/player/214222/lucas-giovini/200002,low_perf_low_cost__budget_depth
2,19,FIFA 19,male,155980,D. Bičík,David Bičík,37,GK,GK,66,66,63.959999999999994,45000.0,500.0,26000.0,71000.0,0.071,99.99439587536428,99.99439587536428,99.98879175072854,1.126760581522594,5.782435807862697,AC Sparta Praha,Czech Republic Gambrinus Liga,Czech Republic,https://sofifa.com/player/155980/david-bicik/190002,low_perf_low_cost__budget_depth
2,18,FIFA 18,male,155980,D. Bičík,David Bičík,36,GK,GK,68,68,66.19,120000.0,500.0,26000.0,146000.0,0.146,99.99435442895049,99.98306328685148,99.97741771580195,1.0209159877433414,5.289256832047897,AC Sparta Praha,Czech Republic Gambrinus Liga,Czech Republic,https://sofifa.com/player/155980/david-bicik/180002,mid_market
2,17,FIFA 17,male,137199,F. Brienza,Franco Brienza,37,CM,MID,76,76,71.955,350000.0,6000.0,312000.0,662000.0,0.662,99.99421497165336,99.95950480157353,99.99421497165336,0.8760066666074273,4.895257559059658,Bari,Italian Serie B,Italy,https://sofifa.com/player/137199/franco-brienza/170002,mid_market
2,16,FIFA 16,male,134621,De Coz,David Gutiérrez de Coz,35,RB,DEF,66,66,65.1275,90000.0,2000.0,104000.0,194000.0,0.194,99.99350227420403,99.99350227420403,99.98700454840805,0.7832757502027164,4.215782205861686,CD Lugo,Spanish Segunda División,Spain,https://sofifa.com/player/134621/david-gutierrez-de-coz/160002,mid_market
3,22,FIFA 22,male,182270,W. Sandilands,Wayne Sandilands,37,GK,GK,71,71,68.67,210000.0,500.0,26000.0,236000.0,0.236,99.98958929779813,99.9687678933944,99.9843839466972,1.3940396437895535,7.30639018596186,Orlando Pirates,South African Premier Division,South Africa,https://sofifa.com/player/182270/wayne-sandilands/220002,mid_market
3,21,FIFA 21,male,223843,D. Frascarelli,Damián Andrés Frascarelli Gutiérrez,35,GK,GK,70,70,68.39,180000.0,500.0,26000.0,206000.0,0.206,99.98930881488212,99.98930881488212,99.98930881488212,1.4485932934266565,7.685506560741416,Sociedad Deportiva Aucas,Ecuadorian Serie A,Uruguay,https://sofifa.com/player/223843/damian-frascarelli/210002,mid_market
3,20,FIFA 20,male,188017,A. Pomini,Alberto Pomini,38,GK,GK,68,68,65.39,90000.0,900.0,46800.0,136800.0,0.1368,99.98903087807821,99.97257719519553,99.98354631711732,0.8673912627215641,4.416799284501202,Venezia FC,Italian Serie B,Italy,https://sofifa.com/player/188017/alberto-pomini/200002,low_perf_low_cost__budget_depth
3,19,FIFA 19,male,5479,Casillas,Iker Casillas Fernández,37,GK,GK,82,82,77.85,1500000.0,10000.0,520000.0,2020000.0,2.02,99.98879175072854,99.79825151311366,99.99439587536428,1.1169913956266724,6.257253124260899,FC Porto,Portuguese Liga ZON SAGRES,Spain,https://sofifa.com/player/5479/iker-casillas-fernandez/190002,mid_market
3,18,FIFA 18,male,16254,T. Howard,Timothy Matthew Howard,38,GK,GK,78,78,74.21000000000001,700000.0,6000.0,312000.0,1012000.0,1.012,99.98870885790097,99.87015186586123,99.98870885790097,1.0159005706676683,5.569538987025609,Colorado Rapids,USA Major League Soccer,United States,https://sofifa.com/player/16254/tim-howard/180002,mid_market
3,17,FIFA 17,male,10863,E. Maresca,Enzo Maresca,36,CM,MID,75,75,71.365,325000.0,5000.0,260000.0,585000.0,0.585,99.98842994330673,99.96528982992017,99.98842994330673,0.8701020839113107,4.843004181258479,Hellas Verona,Italian Serie B,Italy,https://sofifa.com/player/10863/enzo-maresca/170002,mid_market
3,16,FIFA 16,male,146695,L. Franco,Leonardo Neoren Franco,38,GK,GK,69,69,66.68,170000.0,2000.0,104000.0,274000.0,0.274,99.98700454840805,99.98050682261209,99.99350227420403,0.7734950805740826,4.217074491634129,SD Huesca,Spanish Segunda División,Argentina,https://sofifa.com/player/146695/leo-franco/160002,mid_market
4,22,FIFA 22,male,241769,D. Akpeyi,Daniel Akpeyi,35,GK,GK,74,74,72.02,475000.0,500.0,26000.0,501000.0,0.501,99.9843839466972,99.91150903128417,99.98958929779813,1.3880181769454247,7.367124319121189,Kaizer Chiefs,South African Premier Division,Nigeria,https://sofifa.com/player/241769/daniel-akpeyi/220002,mid_market
4,21,FIFA 21,male,164853,A. Federici,Adam Federici,35,GK,GK,70,70,68.6,180000.0,1000.0,52000.0,232000.0,0.232,99.9839632223232,99.97327203720533,99.9839632223232,1.3893255747650255,7.376357850025052,Macarthur FC,Australian Hyundai A-League,Australia,https://sofifa.com/player/164853/adam-federici/210002,mid_market
4,20,FIFA 20,male,110606,A. Mannus,Alan Mannus,37,GK,GK,66,66,63.989999999999995,70000.0,600.0,31200.0,101200.0,0.1012,99.98354631711732,99.98354631711732,99.96709263423463,0.8358250736187872,4.201049335129227,Shamrock Rovers,Rep. Ireland Airtricity League,Northern Ireland,https://sofifa.com/player/110606/alan-mannus/200002,low_perf_low_cost__budget_depth
4,19,FIFA 19,male,188017,A. Pomini,Alberto Pomini,37,GK,GK,68,68,65.76,60000.0,1000.0,52000.0,112000.0,0.112,99.9831876260928,99.9831876260928,99.9831876260928,1.1089290112632388,5.756111156068421,Palermo,Italian Serie B,Italy,https://sofifa.com/player/188017/alberto-pomini/190002,mid_market
4,18,FIFA 18,male,176540,B. Castillo,Bréiner Clemente Castillo Caicedo,39,GK,GK,68,68,65.02,60000.0,1000.0,52000.0,112000.0,0.112,99.98306328685148,99.98870885790097,99.97177214475245,1.0085449190737759,5.179054073503536,Atlético Huila,Colombian Liga Postobón,Colombia,https://sofifa.com/player/176540/breiner-castillo/180002,low_perf_low_cost__budget_depth
4,17,FIFA 17,male,7763,A. Pirlo,Andrea Pirlo,37,CM,MID,82,82,76.425,1400000.0,10000.0,520000.0,1920000.0,1.92,99.98264491496009,99.87272937637395,99.98264491496009,0.8190502427197686,4.734575510777219,New York City FC,USA Major League Soccer,Italy,https://sofifa.com/player/7763/andrea-pirlo/170002,mid_market
4,16,FIFA 16,male,169780,J. Yacuzzi,Javier Orlando Yacuzzi,35,LB,DEF,66,66,65.045,90000.0,2000.0,104000.0,194000.0,0.194,99.98050682261209,99.98700454840805,99.98050682261209,0.7689062640437118,4.13328220586169,Defensa y Justicia,Argentina Primera División,Argentina,https://sofifa.com/player/169780/javier-yacuzzi/160002,mid_market
5,22,FIFA 22,male,223843,D. Frascarelli,Damián Andrés Frascarelli Gutiérrez,36,GK,GK,70,70,67.99,180000.0,500.0,26000.0,206000.0,0.206,99.97917859559628,99.97397324449534,99.97397324449534,1.3812262647568392,7.220450766583802,Sociedad Deportiva Aucas,Ecuadorian Serie A,Uruguay,https://sofifa.com/player/223843/damian-frascarelli/220002,mid_market
5,21,FIFA 21,male,182270,W. Sandilands,Wayne Sandilands,36,GK,GK,69,69,67.33,150000.0,500.0,26000.0,176000.0,0.176,99.97861762976426,99.97861762976426,99.97861762976426,1.3838708388958414,7.312946082783348,Orlando Pirates,South African Premier Division,South Africa,https://sofifa.com/player/182270/wayne-sandilands/210002,mid_market
5,20,FIFA 20,male,214503,L. Delgado,Luis Enrique Delgado Mantilla,38,GK,GK,65,65,62.72,50000.0,500.0,26000.0,76000.0,0.076,99.97806175615642,99.9945154390391,99.93418526846925,0.8168743098617786,4.056143448292531,Rionegro Águilas,Colombian Liga Postobón,Colombia,https://sofifa.com/player/214503/luis-delgado/200002,low_perf_low_cost__budget_depth
5,19,FIFA 19,male,205951,Rafinha,Rafael Scapini de Almeida,36,RB,DEF,68,68,66.085,100000.0,500.0,26000.0,126000.0,0.126,99.97758350145706,99.97197937682134,99.97758350145706,1.0789030770333465,5.609189876685193,HJK Helsinki,Finnish Veikkausliiga,Brazil,https://sofifa.com/player/205951/rafael-scapini-de-almeida/190002,mid_market
5,18,FIFA 18,male,49031,S. Sorrentino,Stefano Sorrentino,38,GK,GK,79,79,75.26,850000.0,10000.0,520000.0,1370000.0,1.37,99.97741771580195,99.757240444871,99.98306328685148,0.9779078698048808,5.408725909774901,Chievo Verona,Italian Serie A,Italy,https://sofifa.com/player/49031/stefano-sorrentino/180002,mid_market
5,17,FIFA 17,male,214489,M. Restrepo,Andrés Mauricio Restrepo Gómez,35,CDM,MID,66,66,64.505,110000.0,500.0,26000.0,136000.0,0.136,99.97685988661344,100.0,99.9710748582668,0.8183075809906494,4.327718083619679,La Equidad,Colombian Liga Postobón,Colombia,https://sofifa.com/player/214489/mauricio-restrepo/170002,low_perf_low_cost__budget_depth
5,16,FIFA 16,male,221302,N. Tapia,Nelino José Tapia Gil,24,LB,DEF,69,74,73.14750000000001,1100000.0,2000.0,104000.0,1204000.0,1.204,99.97400909681612,99.88304093567251,99.97400909681612,0.6987210299823391,4.03406230529761,Uniautónoma FC,Colombian Liga Postobón,Colombia,https://sofifa.com/player/221302/nelino-tapia/160002,mid_market
6,22,FIFA 22,male,186655,J. Carvallo,José Aurelio Carvallo Alonso,35,GK,GK,68,68,66.67999999999999,130000.0,500.0,26000.0,156000.0,0.156,99.97397324449534,99.98958929779813,99.9687678933944,1.3699597721758083,7.125263543086653,Club Universitario de Deportes,Peruvian Primera División,Peru,https://sofifa.com/player/186655/jose-carvallo/220002,mid_market
6,21,FIFA 21,male,219918,O. Cabral,Osvaldo Ramón Cabral,35,GK,GK,68,68,66.71,130000.0,500.0,26000.0,156000.0,0.156,99.97327203720533,99.9839632223232,99.97327203720533,1.369503099496824,7.219810789528921,Club River Plate Asunción,Paraguayan Primera División,Argentina,https://sofifa.com/player/219918/osvaldo-cabral/210002,mid_market
6,20,FIFA 20,male,243585,G. Bazunu,Gavin Okeroghene Bazunu,17,GK,GK,59,84,68.27,275000.0,500.0,26000.0,301000.0,0.301,99.97257719519553,99.87933965886032,99.96160807327374,0.806128835414672,4.198506431181741,Manchester City,English Premier League,Republic of Ireland,https://sofifa.com/player/243585/gavin-bazunu/200002,mid_market
6,19,FIFA 19,male,204534,N. Ramos,Nelson Fernando Ramos Betancourt,36,GK,GK,67,67,65.59,100000.0,500.0,26000.0,126000.0,0.126,99.97197937682134,99.95516700291415,99.96637525218561,0.9891076782161662,5.114189876685202,Atlético Bucaramanga,Colombian Liga Postobón,Colombia,https://sofifa.com/player/204534/nelson-ramos/190002,mid_market
6,18,FIFA 18,male,1179,G. Buffon,Gianluigi Buffon,39,GK,GK,89,89,83.5,4500000.0,110000.0,5720000.0,10220000.0,10.22,99.97177214475245,94.6649353582115,99.99435442895049,0.9573729501773554,5.615325998835786,Juventus,Italian Serie A,Italy,https://sofifa.com/player/1179/gianluigi-buffon/180002,high_perf_high_cost__premium_star
6,17,FIFA 17,male,5471,F. Lampard,Frank Lampard,38,CM,MID,78,78,73.20500000000001,575000.0,8000.0,416000.0,991000.0,0.991,99.9710748582668,99.93636468818697,99.97685988661344,0.7761069320507618,4.390733519269844,New York City FC,USA Major League Soccer,England,https://sofifa.com/player/5471/frank-lampard/170002,mid_market
7,22,FIFA 22,male,165247,I. Khune,Itumeleng Khune,34,GK,GK,71,71,70.32,325000.0,500.0,26000.0,351000.0,0.351,99.9687678933944,99.93753578678883,99.97917859559628,1.3692580470667608,7.221888958741182,Kaizer Chiefs,South African Premier Division,South Africa,https://sofifa.com/player/165247/itumeleng-khune/220002,mid_market
7,21,FIFA 21,male,198653,M. Silva,Martín Andrés Silva Leites,37,GK,GK,73,73,70.53,350000.0,500.0,26000.0,376000.0,0.376,99.9679264446464,99.94119848185171,99.9679264446464,1.3457883423784511,7.1974092695646235,Club Libertad,Paraguayan Primera División,Uruguay,https://sofifa.com/player/198653/martin-silva/210002,mid_market
6,16,FIFA 16,male,225024,M. Holgate,Mason Holgate,18,RB,DEF,61,80,69.08,400000.0,2000.0,104000.0,504000.0,0.504,99.96751137102015,99.9545159194282,99.9545159194282,0.6969454893312693,3.878978591785568,Everton,English Premier League,England,https://sofifa.com/player/225024/mason-holgate/160002,mid_market
7,20,FIFA 20,male,187959,M. Peškovič,Michal Peškovič,37,GK,GK,67,67,64.86,80000.0,1000.0,52000.0,132000.0,0.132,99.96709263423463,99.96160807327374,99.92870070750837,0.796738972709435,4.027131750882987,Cracovia,Polish T-Mobile Ekstraklasa,Slovakia,https://sofifa.com/player/187959/michal-peskovic/200002,low_perf_low_cost__budget_depth
7,19,FIFA 19,male,142333,M. McNulty,Mark McNulty,37,GK,GK,64,64,62.099999999999994,30000.0,500.0,26000.0,56000.0,0.056,99.96637525218561,99.98879175072854,99.93835462900695,0.9686424856272786,4.873331526192928,Cork City,Rep. Ireland Airtricity League,Republic of Ireland,https://sofifa.com/player/142333/mark-mcnulty/190002,low_perf_low_cost__budget_depth
7,18,FIFA 18,male,158132,D. Brückner,Daniel Brückner,36,LB,DEF,65,65,63.64,60000.0,500.0,26000.0,86000.0,0.086,99.96612657370292,99.99435442895049,99.95483543160391,0.9572720439576107,4.855026390494416,FC Rot-Weiß Erfurt,German 3. Bundesliga,Germany,https://sofifa.com/player/158132/daniel-bruckner/180002,low_perf_low_cost__budget_depth
7,17,FIFA 17,male,176540,B. Castillo,Bréiner Clemente Castillo Caicedo,38,GK,GK,69,69,66.32000000000001,170000.0,1000.0,52000.0,222000.0,0.222,99.96528982992017,99.98264491496009,99.96528982992017,0.7493637959109534,4.011711769031201,Envigado FC,Colombian Liga Postobón,Colombia,https://sofifa.com/player/176540/breiner-castillo/170002,mid_market
8,22,FIFA 22,male,219918,O. Cabral,Osvaldo Ramón Cabral,36,GK,GK,69,69,67.15,150000.0,500.0,26000.0,176000.0,0.176,99.96356254229349,99.97917859559628,99.96356254229349,1.3566056615973554,7.068178186658287,12 de Octubre FC,Paraguayan Primera División,Argentina,https://sofifa.com/player/219918/osvaldo-cabral/220002,mid_market
8,21,FIFA 21,male,214110,J. Cuadrado,José Fernando Cuadrado Romero,35,GK,GK,69,69,67.64,150000.0,1000.0,52000.0,202000.0,0.202,99.96258085208746,99.96258085208746,99.96258085208746,1.32735930431656,7.0211502281662845,Atlético Nacional,Colombian Liga Postobón,Colombia,https://sofifa.com/player/214110/jose-cuadrado/210002,mid_market
8,20,FIFA 20,male,155980,D. Bičík,David Bičík,38,GK,GK,66,66,63.559999999999995,70000.0,500.0,26000.0,96000.0,0.096,99.96160807327374,99.97806175615642,99.90676246366479,0.7963044443163974,3.978300015544818,AC Sparta Praha,Czech Republic Gambrinus Liga,Czech Republic,https://sofifa.com/player/155980/david-bicik/200002,low_perf_low_cost__budget_depth
7,16,FIFA 16,male,221841,A. Armstrong,Adam Armstrong,18,CF,ATT,65,84,72.725,1000000.0,2000.0,104000.0,1104000.0,1.104,99.96101364522417,99.90253411306043,99.96751137102015,0.6954971958465342,4.0011263531051355,Coventry City,English League One,England,https://sofifa.com/player/221841/adam-armstrong/160002,mid_market
8,19,FIFA 19,male,159265,C. Puggioni,Christian Puggioni,37,GK,GK,71,71,68.46,160000.0,2000.0,104000.0,264000.0,0.264,99.96077112754988,99.91033400582829,99.95516700291415,0.9509356132322979,5.020557042185381,Benevento,Italian Serie B,Italy,https://sofifa.com/player/159265/christian-puggioni/190002,mid_market
8,18,FIFA 18,male,159436,R. Zapata,Robinson Zapata Montaño,38,GK,GK,69,69,66.35000000000001,70000.0,2000.0,104000.0,174000.0,0.174,99.96048100265342,99.95483543160391,99.94354428950489,0.917419620494627,4.747880450599425,Club Independiente Santa Fe,Colombian Liga Postobón,Colombia,https://sofifa.com/player/159436/robinson-zapata/180002,mid_market
8,17,FIFA 17,male,176611,M. Canchila,Marco Antonio Canchila Vásquez,35,CB,DEF,66,66,63.972500000000004,110000.0,500.0,26000.0,136000.0,0.136,99.95950480157353,99.99421497165336,99.95950480157353,0.7243015782279408,3.7952180836196874,Fortaleza CEIF,Colombian Liga Postobón,Colombia,https://sofifa.com/player/176611/marco-canchila/170002,low_perf_low_cost__budget_depth
9,22,FIFA 22,male,189024,M. Banguera,Máximo Orlando Banguera Valdivieso,35,GK,GK,67,67,65.83999999999999,110000.0,500.0,26000.0,136000.0,0.136,99.95835719119255,99.9843839466972,99.95835719119255,1.32851688787018,6.884764895850495,Guayaquil City FC,Ecuadorian Serie A,Ecuador,https://sofifa.com/player/189024/maximo-banguera/220002,mid_market
9,21,FIFA 21,male,228232,L. Azcona,Librado Daniel Azcona Salinas,36,GK,GK,68,68,66.37,130000.0,500.0,26000.0,156000.0,0.156,99.95723525952852,99.9679264446464,99.95723525952852,1.3072350354871192,6.879810789528932,Club Olimpia,Paraguayan Primera División,Ecuador,https://sofifa.com/player/228232/librado-azcona/210002,mid_market
9,20,FIFA 20,male,138247,K. Stuhr-Ellegaard,Kevin Stuhr-Ellegaard,36,GK,GK,69,69,67.12,180000.0,1000.0,52000.0,232000.0,0.232,99.95612351231284,99.92321614654746,99.93966982943016,0.7897681623428718,4.071486973977386,IF Elfsborg,Swedish Allsvenskan,Denmark,https://sofifa.com/player/138247/kevin-stuhr-ellegaard/200002,mid_market
9,19,FIFA 19,male,215085,R. Naranjo,Rodrigo Felipe Naranjo López,38,GK,GK,67,67,64.46000000000001,50000.0,1000.0,52000.0,102000.0,0.102,99.95516700291415,99.96077112754988,99.93275050437121,0.9437595379134687,4.830841654115055,Deportes Iquique,Chilian Campeonato Nacional,Chile,https://sofifa.com/player/215085/rodrigo-naranjo/190002,low_perf_low_cost__budget_depth
