rank_vfm,fifa_version,season_label,dataset_gender,sofifa_id,short_name,long_name,age,primary_position,position_group,overall,potential,performance_score,value_eur,wage_eur,annual_wage_eur,total_cost_eur,cost_million_eur,vfm_index,vfm_formula_1_index,vfm_formula_2_index,vfm_formula_3_raw,regression_residual,club_name,league_name,nationality_name,player_url,cost_performance_segment,rank_practical_vfm
934,22,FIFA 22,male,252789,R. Neshcheret,Ruslan Neshcheret,19,GK,GK,64,80,70.73,1300000.0,500.0,26000.0,1326000.0,1.326,95.14340742283068,93.92535526521264,95.10176461402322,0.3379109803853565,1.8241884928964112,Dynamo Kyiv,Ukrainian Premier League,Ukraine,https://sofifa.com/player/252789/ruslan-neshcheret/220002,mid_market,42
948,22,FIFA 22,male,251926,R. Ndiaye,Rassoul Ndiaye,19,CDM,MID,61,80,68.6375,800000.0,650.0,33800.0,833800.0,0.8338,95.07053250741762,95.62750507521731,94.5395866951226,0.336445389866975,1.7588400748971509,FC Sochaux-Montbéliard,French Ligue 2,France,https://sofifa.com/player/251926/rassoul-ndiaye/220002,mid_market,43
952,22,FIFA 22,male,247360,L. Stergiou,Leonidas Stergiou,19,CB,DEF,67,86,73.7525,2500000.0,2000.0,104000.0,2604000.0,2.604,95.0497111030139,89.63094060694394,95.64312112852012,0.3360596412058108,1.8977685050751631,FC St. Gallen 1879,Swiss Super League,Switzerland,https://sofifa.com/player/247360/leonidas-stergiou/220002,high_perf_high_cost__premium_star,44
958,22,FIFA 22,male,259570,F. Orozco,Franco Orozco,19,LW,ATT,65,84,72.4625,1800000.0,3000.0,156000.0,1956000.0,1.956,95.0184789964083,91.55692051428868,95.32559471136328,0.3352737094691269,1.858098718486744,Club Atlético Lanús,Argentina Primera División,Argentina,https://sofifa.com/player/259570/franco-orozco/220002,mid_market,45
997,22,FIFA 22,male,234577,Diogo Costa,Diogo Meireles Costa,21,GK,GK,73,85,78.01,6500000.0,5000.0,260000.0,6760000.0,6.76,94.81547030347195,80.27171932746865,96.17406694081517,0.3306737419972716,1.986843462485524,FC Porto,Portuguese Liga ZON SAGRES,Portugal,https://sofifa.com/player/234577/diogo-meireles-costa/220002,high_perf_high_cost__premium_star,46
1037,22,FIFA 22,male,236033,Dani Cárdenas,Daniel Cárdenas Líndez,24,GK,GK,72,80,76.74,4500000.0,12000.0,624000.0,5124000.0,5.124,94.6072562594347,82.64535942949351,95.85654052365832,0.3260481916083493,1.9275875576345385,Levante Unión Deportiva,Spain Primera Division,Spain,https://sofifa.com/player/236033/daniel-cardenas-lindez/220002,high_perf_high_cost__premium_star,47
1040,22,FIFA 22,male,256953,X. Dziekoński,Xavier Dziekoński,17,GK,GK,63,80,69.93,1100000.0,500.0,26000.0,1126000.0,1.126,94.5916402061319,94.10754255374523,94.33137265108532,0.3257925570189645,1.7385870545112,Jagiellonia Białystok,Polish T-Mobile Ekstraklasa,Poland,https://sofifa.com/player/256953/xavier-dziekonski/220002,mid_market,48
1044,22,FIFA 22,male,262262,J. Gorter,Jay Gorter,21,GK,GK,69,80,74.19,2700000.0,4000.0,208000.0,2908000.0,2.908,94.57081880172818,87.70496069959918,95.28395190255584,0.3251862926651666,1.8527981567138028,Ajax,Holland Eredivisie,Netherlands,https://sofifa.com/player/262262/jay-gorter/220002,high_perf_high_cost__premium_star,49
1045,22,FIFA 22,male,234341,İ. Eğribayat,İrfan Can Eğribayat,23,GK,GK,72,80,76.5,4500000.0,7000.0,364000.0,4864000.0,4.864,94.56561345062724,83.00973400655874,95.804487012649,0.3249334951460954,1.9151278637611853,Göztepe SK,Turkish Süper Lig,Turkey,https://sofifa.com/player/234341/irfan-can-egribayat/220002,high_perf_high_cost__premium_star,50
1061,22,FIFA 22,male,245396,V. Supriaha,Vladyslav Supriaha,21,ST,ATT,71,82,75.8625,4200000.0,550.0,28600.0,4228600.0,4.2286,94.48232783301232,84.0664202800479,95.54421945760242,0.3233622561500651,1.8893200778034327,Dynamo Kyiv,Ukrainian Premier League,Ukraine,https://sofifa.com/player/245396/vladyslav-supriaha/220002,high_perf_high_cost__premium_star,51
1068,22,FIFA 22,male,230727,G. Larsonneur,Gautier Larsonneur,24,GK,GK,76,79,79.06,8000000.0,12000.0,624000.0,8624000.0,8.624,94.44589037530582,76.5446879392015,96.0959866743012,0.3224689594043262,1.9727470239121343,Stade Brestois 29,French Ligue 1,France,https://sofifa.com/player/230727/gautier-larsonneur/220002,high_perf_high_cost__premium_star,52
1080,22,FIFA 22,male,257368,L. Pirola,Lorenzo Pirola,19,CB,DEF,64,82,70.99000000000001,1400000.0,650.0,33800.0,1433800.0,1.4338,94.38342616209464,92.54593722346571,94.36781010879184,0.3209995729076939,1.7426596854404437,AC Monza,Italian Serie B,Italy,https://sofifa.com/player/257368/lorenzo-pirola/220002,mid_market,53
1089,22,FIFA 22,male,252552,K. Tzolakis,Konstantinos Tzolakis,18,GK,GK,67,83,73.16,2300000.0,500.0,26000.0,2326000.0,2.326,94.33657800218624,89.18848576336474,94.88313986778408,0.3202609072325712,1.798583299550728,Olympiacos CFP,Greek Super League,Greece,https://sofifa.com/player/252552/konstantinos-tzolakis/220002,mid_market,54
1091,22,FIFA 22,male,237630,A. Pascanu,Alexandru Ștefan Pașcanu,22,CB,DEF,71,82,75.99,3900000.0,9000.0,468000.0,4368000.0,4.368,94.3261672999844,83.446983499037,95.48175524439124,0.3199804542900857,1.875097347978155,SD Ponferradina,Spanish Segunda División,Romania,https://sofifa.com/player/237630/alexandru-pascanu/220002,high_perf_high_cost__premium_star,55
1094,22,FIFA 22,male,259532,Joan García,Joan García Pons,20,GK,GK,67,83,73.58000000000001,2400000.0,3000.0,156000.0,2556000.0,2.556,94.31055124668158,88.29837072510541,94.94039872989433,0.3195759185543455,1.806564543056936,RCD Espanyol de Barcelona,Spain Primera Division,Spain,https://sofifa.com/player/259532/joan-garcia-pons/220002,high_perf_high_cost__premium_star,56
1131,22,FIFA 22,male,261621,L. Mbete,Luke Mbete,17,CB,DEF,62,82,69.5025,1000000.0,700.0,36400.0,1036400.0,1.0364,94.11795325594711,94.00343553172662,93.80042683879029,0.315609688673696,1.6734016184493612,Manchester City,English Premier League,England,https://sofifa.com/player/261621/luke-mbete/220002,mid_market,57
1142,22,FIFA 22,male,242429,L. Cacace,Liberato Gianpaolo Cacace,20,LWB,DEF,72,83,76.845,4900000.0,8000.0,416000.0,5316000.0,5.316,94.06069439383688,80.96403102389256,95.45572848888656,0.3148690361588346,1.8718508374969929,Sint-Truidense VV,Belgian Jupiler Pro League,New Zealand,https://sofifa.com/player/242429/liberato-cacace/220002,high_perf_high_cost__premium_star,58
1143,22,FIFA 22,male,263169,F. Stevanović,Filip Stevanović,18,LW,ATT,64,82,71.3125,1500000.0,1000.0,52000.0,1552000.0,1.552,94.05548904273591,91.687054291812,94.20123887356202,0.314798001740691,1.7190219235588555,SC Heerenveen,Holland Eredivisie,Serbia,https://sofifa.com/player/263169/filip-stevanovic/220002,mid_market,59
1154,22,FIFA 22,male,254120,T. Doyle,Thomas Glyn Doyle,19,CM,MID,62,81,69.7775,1000000.0,2000.0,104000.0,1104000.0,1.104,93.99823018062568,93.6390609546614,93.7744000832856,0.3139556452086903,1.6723048678513663,Hamburger SV,German 2. Bundesliga,England,https://sofifa.com/player/254120/tommy-doyle/220002,mid_market,60
1158,22,FIFA 22,male,242534,C. Cásseres Jr,Cristian Sleiker Cásseres Yepes,21,CDM,MID,71,82,75.7875,4000000.0,4000.0,208000.0,4208000.0,4.208,93.97740877622196,83.12425173077924,95.1798448805372,0.3135245758890127,1.8356586819814709,New York Red Bulls,USA Major League Soccer,Venezuela,https://sofifa.com/player/242534/cristian-casseres-jr/220002,high_perf_high_cost__premium_star,61
1168,22,FIFA 22,male,244349,J. Vásquez,Johan Felipe Vásquez Ibarra,22,CB,DEF,71,82,75.84,3900000.0,7000.0,364000.0,4264000.0,4.264,93.92535526521264,82.88480558013637,95.1486127739316,0.3122446078762104,1.8303924834879552,Genoa,Italian Serie A,Mexico,https://sofifa.com/player/244349/johan-vasquez/220002,high_perf_high_cost__premium_star,62
1172,22,FIFA 22,male,258185,Luis Carbonell,Luis Carbonell Artajona,18,ST,ATT,63,81,70.33,1200000.0,1000.0,52000.0,1252000.0,1.252,93.90453386080893,92.81661548071418,93.821248243194,0.3115870163058443,1.6751073356693666,Real Madrid CF,Spain Primera Division,Spain,https://sofifa.com/player/258185/luis-carbonell-artajona/220002,mid_market,63
1176,22,FIFA 22,male,261654,O. El Hilali,Omar El Hilali,17,RB,DEF,63,81,69.85,1100000.0,500.0,26000.0,1126000.0,1.126,93.8837124564052,93.38920410181667,93.63385560356046,0.310959101682651,1.6585870545111874,RCD Espanyol de Barcelona,Spain Primera Division,Spain,https://sofifa.com/player/261654/omar-el-hilali/220002,mid_market,64
1183,22,FIFA 22,male,222511,E. Unsain,Luis Ezequiel Unsain,26,GK,GK,75,78,77.42,5500000.0,11000.0,572000.0,6072000.0,6.072,93.84727499869868,78.9547654989329,95.4088803289782,0.3107030781586994,1.8658470618136531,Defensa y Justicia,Argentina Primera División,Argentina,https://sofifa.com/player/222511/ezequiel-unsain/220002,high_perf_high_cost__premium_star,65
1193,22,FIFA 22,male,262109,A. Kalogeropoulos,Alexios Kalogeropoulos,16,CB,DEF,62,82,69.4275,1000000.0,500.0,26000.0,1026000.0,1.026,93.79522148768936,93.78481078548748,93.43605226172504,0.3101059912628391,1.642470211464385,Olympiacos CFP,Greek Super League,Greece,https://sofifa.com/player/262109/alexios-kalogeropoulos/220002,mid_market,66
1194,22,FIFA 22,male,256196,W. Pacho,William Joel Pacho Tenorio,19,CB,DEF,61,81,68.8425,875000.0,500.0,26000.0,901000.0,0.901,93.79001613658842,94.3626047576909,93.2642756753943,0.3098772891036416,1.6251502052861042,Independiente del Valle,Ecuadorian Serie A,Ecuador,https://sofifa.com/player/256196/william-pacho/220002,mid_market,67
1196,22,FIFA 22,male,259159,J. Che,Justin Che,17,RB,DEF,63,81,69.8425,1100000.0,500.0,26000.0,1126000.0,1.126,93.77960543438655,93.30071313310084,93.55056998594556,0.3095684652448731,1.6510870545111942,FC Dallas,USA Major League Soccer,United States,https://sofifa.com/player/259159/justin-che/220002,mid_market,68
1198,22,FIFA 22,male,230165,Simão Donatinho,Simão Alvin Donatinho Garcia,25,GK,GK,75,75,77.03999999999999,4600000.0,19000.0,988000.0,5588000.0,5.588,93.76919473218469,79.66789859976056,95.25792514705115,0.3094511311384376,1.848809633440652,Sport Club Corinthians Paulista,Campeonato Brasileiro Série A,Brazil,https://sofifa.com/player/230165/simao-alvin-donatinho-garcia/220002,high_perf_high_cost__premium_star,69
1206,22,FIFA 22,male,236515,Álvaro,Álvaro Fernández Llorente,23,GK,GK,73,82,77.62,6000000.0,7000.0,364000.0,6364000.0,6.364,93.72755192337723,78.15834678049033,95.35682681796888,0.3086544186198863,1.8606139714407703,Brentford,English Premier League,Spain,https://sofifa.com/player/236515/alvaro-fernandez-llorente/220002,high_perf_high_cost__premium_star,70
1215,22,FIFA 22,male,253378,Tomás Ribeiro,Tomás Aresta Branco Machado Ribeiro,22,CB,DEF,71,84,76.0625,4300000.0,4000.0,208000.0,4508000.0,4.508,93.68070376346884,81.77606579563792,94.95601478319712,0.3071387492914572,1.809745640802845,Belenenses SAD,Portuguese Liga ZON SAGRES,Portugal,https://sofifa.com/player/253378/tomas-aresta-machado-ribeiro/220002,high_perf_high_cost__premium_star,71
